// Dump of all classes for "synergy" as at 2019/11/07
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_ally_manager
CBaseEntity - ai_ally_speech_manager
CBaseEntity - ai_battle_line
CBaseEntity - ai_changehintgroup
CBaseEntity - ai_changetarget
CBaseEntity - ai_citizen_response_system
CBaseEntity - ai_goal_actbusy
CBaseEntity - ai_goal_actbusy_queue
CBaseEntity - ai_goal_assault
CBaseEntity - ai_goal_follow
CBaseEntity - ai_goal_injured_follow
CBaseEntity - ai_goal_lead
CBaseEntity - ai_goal_lead_weapon
CBaseEntity - ai_goal_operator
CBaseEntity - ai_goal_police
CBaseEntity - ai_goal_standoff
CBaseEntity - ai_hint
CBaseEntity - ai_network
CBaseEntity - ai_network_build_helper
CBaseEntity - ai_npc_eventresponsesystem
CBaseEntity - ai_relationship
CBaseEntity - ai_script_conditions
CBaseEntity - ai_sound
CBaseEntity - ai_speechfilter
CBaseEntity - aiscripted_schedule
CAI_BaseNPC - aitesthull
CBaseEntity - ambient_generic
CBaseCombatCharacter - apc_missile
AR2Explosion - ar2explosion
CBaseEntity - assault_assaultpoint
CBaseEntity - assault_rallypoint
CBaseHL2MPCombatWeapon - basehl2mpcombatweapon
CBaseHLCombatWeapon - basehlcombatweapon
CSprite - baseprojectile
CBeam - beam
CCorpse - bodyque
CBaseAnimating - bounce_bomb
CAI_BaseNPC - bullseye_strider_focus
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseAnimating - combine_bouncemine
CBaseAnimating - combine_mine
CBaseEntity - commentary_auto
CBaseEntity - concussiveblast
CBaseAnimating - crane_tip
CCrossbowBolt - crossbow_bolt
CAI_BaseNPC - cycler
CAI_BaseNPC - cycler_actor
CAI_BaseNPC - cycler_blender
CBaseFlex - cycler_flex
CWeaponCycler - cycler_weapon
CAI_BaseNPC - cycler_wreckage
CDynamicProp - dynamic_prop
CBaseAnimating - ent_watery_leech
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CAlyxEmpEffect - env_alyxemp
CBaseEntity - env_ar2explosion
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CCitadelEnergyCore - env_citadel_energy_core
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFlame - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFlare - env_flare
CFogController - env_fog_controller
CBaseEntity - env_funnel
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CEnvHeadcrabCanister - env_headcrabcanister
CBaseEntity - env_hudhint
CBeam - env_laser
CLaserDot - env_laserdot
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CRotorWashEmitter - env_rotorwash_emitter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
